Timestamp,What year are you in,What is your age,What class are you in,What is your gender,How many languages do you speak? (digit entry),"What is the highest degree you plan to pursue?
","What is your major
",Are you a transfer student,Are you a first generation student,What is your current cumulative GPA?,How motivated are you to attend the lecture if it is 50 min long (3 times a week)?  (1: not motivated; 5 very motivated),How motivated are you to attend the lecture if it is 1h 20 min long (2 times a week)? (1: not motivated; 5 very motivated),How motivated are you to go to class if class participation is part of the grade? (1: not motivated; 5 very motivated),How motivated are you to go to class if there are no class activities in lecture? (1: not motivated; 5 very motivated),Do you prefer studying and/or working in groups? ,"When you miss lecture, what are the reasons for it?",How often do you tutor or help fellow peers? (1:Never; 2:Rarely; 3:Sometimes; 4:Often; 5:Almost every day),How many hours a day (on average) did you spend studying last week? (hours),"Which of the following student resources have you used this quarter?
","If you utilize the above student resources, how often do you use/attend such resources a week?","IN CS010C, how much did you enjoy doing labs? (scale of 1-5)","IN CS105, how much did you enjoy doing labs? (scale of 1-5)",Do you think that you would learn better if labs were due every other week rather than weekly?,Do labs help you prepare for exams?,Do lecture materials help you complete lab assignments?,How many hours a week do you spend working on material for CS111?,What is the level of anxiety you feel for the upcoming CS111 midterm?,How many hours a week do you spend working on material for CS105?,What is the level of anxiety you feel for the upcoming CS105 midterm?,7. Do you want weekly programming assignments for CS111 (similar to CS 010C or equivalent data structures classes)?,How many UCR affiliated student organizations are you involved with?,"Of the student organizations you are involved with, in how many of those clubs are you a board member?","Outside of time spent studying and in class, how many hours do you spend on campus a week?","How many on campus events did you attend (hosted by RHA, ASPB or ASUCR) since September 22nd?",Have you ever participated and/or been a part of a team that organizes a hackathon?,"If you've attended a hackathon, what do you do in them?
","What is your living situation?
","On average how long does it take you to get to campus?
",How stressed are you with your classes? (1: not stressed; 5: extremely stressed),How many hours do you sleep per night? (numeric answer),Are you a morning person or a night person?,How long do you exercise a day?,How many times a week do you work out?,"Where do you work out?
",Why do you work out?,When do you work out?,How many high school student organizations were you involved with?,"Did you complete high school in the United States? (If not, specify country)","If you were involved with sports in high school, how long did you play for in your school?",How many AP classes did you take in high school? (Numeric value),Have you applied to or completed one or more internships as a UCR student?,How important is money in your career choice?,Do you want to be involved in STEM-based research?,"Do you take advantage of career services offered by the university (e.g. resume building, mock interviews, job fairs, career center)","On a scale of 1-10, how confident are you in finding a career in the future?",Have you ever had a job during college?,"If you have or had an internship part-time job, or full-time job during the 2022-23 academic school year, how many hours a week on average did you work? (numeric values only; enter NA if you did not work)",Why did you pick your major?,"Do you want to change majors? If so, why?
","If you could go back in time to change your major, would you?","If you're in CS/CE/Data Science/related, why did you pick this path?
",How many hours do you volunteer in a week? (numeric answer),How many hours do you hang out with friends in a week? (numeric answer),How often do you go to parties in a quarter?,How often do you go to parties in a quarter?,How related to your non-academic hobbies do you want your dream job to be? (1: completely unrelated; 3:somewhat related; 5: completely related),Are you concerned about the growing use of AI? (1: not concerned; 5: very concerned),Do you use AI tools for your coursework (ex: ChatGPT),How likely are you to use AI tools for your future profession? (1: not likely; 5: very likely),What is your favorite movie genre?,How familiar are you with the concept of AI and it's applications? ,How many siblings do you have? (digit entry),How many units are you taking? (digit entry)
5/8/2023 21:58:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/2023 22:04:12,2,19,Both,Male,2,M.S.,Data Science,No,No,3.0-3.3,3,3,5,3,Sometimes,Don't think it is useful to attend some lectures,2,10+,"TA's office hours, ULA",once,3,3,No,Not sure,Not sure,8-10 hours,N/A,4-8 hours,Somewhat anxious,No,2,0,0,None,No,Haven't attended a hackathon,Continuing Student UCR apartment,10-20 minutes,4,8,Neither,2 hours,4,Gym,idk,Afternoon,7,United States,2 years,5,Yes,10,Yes,No,7,No,NA,Advice from family/friends,Do not want to change majors,No,Jobs are in high demand,0,12,Never,Never,3,1,No,3,Science Fiction,8,0,17
5/8/2023 22:05:02,4,21,CS111,Male,2,M.S.,Physics,No,No,3.3-3.6,5,2,3,3,No,Feel like saving money when I only have one lecture,2,2-4,My friend was a TA for cs111 last quarter,I do not utilize the above resources,N/A,N/A,Yes,Yes,Yes,2-4 hours,Somewhat anxious,N/A,N/A,No,1,0,10,1-3,No,Haven't attended a hackathon,Off-campus housing within Riverside,20-30 minutes,,8,Morning person,1 hour,5,Gym,work off the food i eat,Morning,2,United States,4 years,6,No,8,Yes,Yes,6,No,NA,Advice from family/friends,Lost passion for current major,Yes,You find topics in this field interesting,2,10,Rarely,Rarely,3,2,No,2,Romance,5,1,8
5/8/2023 22:05:05,2,19,Both,Male,1,B.S.,Data Science,No,No,3.3-3.6,3,3,4,2,Sometimes,"Don't think it is useful to attend some lectures, Family issues",2,0-2,TA's office hours,once,3,4,Yes,No,No,4-8 hours,Somewhat anxious,2-4 hours,Somewhat anxious,No,0,0,8,4-6,No,Both,Off-campus housing within Riverside,0-10 minutes,3,6,Night person,2 hours,6,Gym,Mental Health,Evening,6,United States,3 years,7,No,9,No,No,5,Yes,10,Money,Do not want to change majors,No,"You find topics in this field interesting, More potential for higher salaries, Stable future",0,13,Somewhat (2-4 times a quarter),Somewhat (2-4 times a quarter),1,4,Yes,5,Action,8,2,18
5/8/2023 22:06:27,3,21,Both,Male,2,B.S.,Data Science,No,Yes,2.6-3.0,4,3,4,2,Sometimes,"Don't think it is useful to attend some lectures, Sick, Family issues, Transportation issues, Feel like saving money when I only have one lecture, Have other things to do",2,2-4,,I do not utilize the above resources,5,5,Yes,Yes,Sometimes,1-2 hours,Very anxious,2-4 hours,Somewhat anxious,Yes,2,0,4,None,No,Haven't attended a hackathon,Off-campus housing within Riverside,30-60 minutes,3,6,Night person,< 30 minutes,2,Home,"Part of my daily routine, helps me feel better so I have more motivation to do work",Afternoon,2,United States,Was not involved in HS sports,6,Yes,7,Yes,No,7,No,NA,Passion,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,0,Never,Never,4,3,No,3,Science Fiction,7,3,12
5/8/2023 22:07:02,2,19,CS105,Male,1,M.S.,CS,No,No,3.6-4.0,4,3,5,4,Sometimes,Have other things to do,4,0-2,,I do not utilize the above resources,1,3,No,No,Sometimes,N/A,N/A,2-4 hours,Somewhat anxious,N/A,1,0,25,1-3,No,Haven't attended a hackathon,Off-campus housing within Riverside,0-10 minutes,2,6.5,Night person,1 hour,5,Gym,,Morning,2,United States,Was not involved in HS sports,8,No,7,Yes,No,4,No,,Passion,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries",0,15,Never,Never,3,3,Yes,4,Comedy,3,0,16
5/8/2023 22:07:29,3,23,CS111,Male,3,M.S.,Data Science,Yes,No,3.3-3.6,4,3,5,2,Yes,"Transportation issues, Feel like saving money when I only have one lecture",2,2-4,"TA's office hours, Professor's office hours",once,2,4,Yes,Sometimes,Sometimes,8-10 hours,Very anxious,N/A,N/A,No,0,0,0,None,No,Haven't attended a hackathon,Off-campus housing outside of Riverside,above 60 minutes,3,9,Night person,30 minutes,1,Home,Looks,Evening,2,United States,1 year,0,Yes,7,Yes,Yes,7,Yes,20,Money,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, Stable future",0,5,Rarely,Rarely,3,5,No,3,Science Fiction,5,2,14
5/8/2023 22:07:39,2,19,Both,Male,1,B.S.,Data Science,No,No,3.3-3.6,5,5,4,4,Sometimes,Sick,3,0-2,"TA's office hours, Professor's office hours",once,5,5,No,Yes,Yes,1-2 hours,Somewhat anxious,1-2 hours,Not anxious,No,0,0,6,None,No,Haven't attended a hackathon,Off-campus housing within Riverside,0-10 minutes,3,8,Both,1 hour,6,Outside,health,Morning,2,United States,4 years,4,Yes,6,Yes,Yes,8,Yes,NA,Passion,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,5,Never,Never,3,1,No,3,Comedy,9,1,17
5/8/2023 22:08:07,3,21,Both,Male,1,B.S.,Data Science,No,,2.3-2.6,3,3,3,2,Sometimes,"Don't think it is useful to attend some lectures, Sick, Family issues, Have other things to do",2,0-2,,I do not utilize the above resources,4,3,No,Sometimes,No,2-4 hours,Very anxious,2-4 hours,Very anxious,Yes,1,0,23,None,Yes,Attended workshops,Off-campus housing outside of Riverside,30-60 minutes,4,4,Both,< 30 minutes,2,Gym,To get in shape,Evening,1,United States,4 years,3,No,8,,No,5,Yes,3,Passion,Do not want to change majors,No,"You find topics in this field interesting, More potential for higher salaries",0,3,Never,Never,3,2,No,3,Action,4,3,15
5/8/2023 22:10:35,2,20,CS111,Female,2,B.S.,CS,No,Yes,3.0-3.3,5,3,5,4,Yes,"Sick, Transportation issues, Have other things to do",2,4-6,ULA,once,1,N/A,Yes,Sometimes,No,2-4 hours,Very anxious,N/A,N/A,No,1,0,35,1-3,Yes,Both,Off-campus housing outside of Riverside,20-30 minutes,5,6,Neither,30 minutes,0,,,,2,United States,1 year,9,Yes,7,Yes,Yes,5,Yes,10,Passion,Do not want to change majors,Yes,You find topics in this field interesting,0,5,Rarely,Rarely,1,3,Yes,4,Romance,7,3,19
